"calc1","vetorial","lpt","p1","ic","lp1","calc2","md","p2","classica","lp2","grafos","cra"
5.1,5.1,8.7,7.9,5.6,8.3,NA,5.3,7,5.9,9.1,5.1,5.66296296296296
7,7.1,9.5,7.9,8.8,8.1,NA,8,8.5,7.4,8.3,7.2,7.56172839506173
7.8,7.2,8.4,8.2,8.6,8.2,NA,7.4,5.4,5.1,8.2,5.6,7.87654320987654
7.3,6.3,7.8,7.4,8.4,8.3,NA,7.3,8.2,7.5,9.1,7.4,7.35060240963855
NA,6.9,NA,NA,NA,NA,5,NA,NA,5.3,NA,7,6.44794520547945
8.3,7,9.4,9.6,7.4,9.5,7.9,5.2,9.2,7.9,9,7,7.34712643678161
7.5,7.3,8.3,9.6,7.3,9.5,NA,5.7,7.9,6.8,8.8,7,7.38024096385542
NA,9.2,NA,NA,NA,NA,7.3,NA,NA,7.5,NA,8.2,6.27424242424242
7.5,8.3,7,8,8,8.4,5.2,6.7,8.6,7.1,8.9,6.8,6.57857142857143
10,7.2,9,9.2,9.5,9.4,NA,8.5,9.7,7.4,9.3,8.3,8.1710843373494
7,6.2,6.7,7,7.1,7,NA,6.6,7.6,5.1,7,7.1,5.83636363636364
7,5,9,5.9,6,5.4,7,7.4,7.6,7,7.7,5.7,6.33647058823529
10,7.4,8.9,7,8,7.2,NA,5.7,7.1,8.5,8.7,7.2,6.97096774193548
10,9.7,9.8,9.6,9.6,9.8,NA,10,9.3,10,9.4,8.8,9.23975903614458
7.5,9.3,9.4,8.1,9.2,8.6,6.5,8.4,9.1,7.4,9.4,7.9,8.53058823529412
6.3,7.1,8.8,6,8,6,NA,7.5,7,7,7.7,7.3,7.18072289156626
6.4,7.3,7.5,8.3,8.7,9.2,NA,6,7.8,8.9,7.6,7.5,5.76396396396396
7.5,7.2,6.8,5.6,8.7,5.2,NA,9.1,7.1,8.6,8.5,7,6.55052631578947
7.5,5.4,7.7,7,8.5,8.3,NA,6.7,7,5.4,7.3,5.6,6.49032258064516
5,5.3,7,5.8,7.5,6.2,NA,7.4,7.3,5.2,5,5.2,5.86931818181818
5.3,7.1,9.5,9.1,8,7.8,5,6.5,8.1,7,9.2,8.2,7.43483146067416
9.5,6.4,8.5,5,7.5,7,5.4,5,6.7,5,8.2,5.1,7.05955056179775
6.8,7.2,7.6,5.6,7.4,7.1,NA,8,6.7,6.3,7.8,8.6,7.43493975903615
7.5,8.6,8.5,9.4,9.8,9.2,NA,8.9,9.5,8.7,9.4,8.6,8.77839506172839
6.4,5,7.1,7.7,7.3,8.3,NA,5.1,7,5.1,7.7,5.1,6.68089887640449
6.3,7.8,NA,5.1,7,5.2,NA,5,6.9,5,7,7,7.07012987012987
7.2,7.4,7.75,5.7,7,6,5.2,5.8,7.9,6.8,9.4,7,6.81034482758621
NA,5,NA,NA,NA,NA,7,NA,NA,6,NA,8.1,7.45909090909091
7,7.3,9,7,8.4,7,NA,6.2,7,6,7.7,5.3,7.2
5.8,7,7,7.7,8.5,8,NA,6.3,7.6,5.3,8.1,5.3,7.31647058823529
7.5,5.8,8.3,6.4,7.7,6.7,NA,5.6,8.9,5,8.4,7,7.19277108433735
8.3,6.8,9.3,5,7.2,5.4,5,6.6,8.7,6.4,8.4,7,7.58235294117647
7.3,8.8,9.6,7.7,9,7,5.7,5.4,7.4,7,9.2,7,7.59294117647059
5.1,8.4,9.6,7.8,8.4,8.2,5.6,7,7.3,7,9.1,8,6.84395604395604
NA,7.1,NA,NA,NA,NA,6.1,NA,NA,7,NA,7.5,7.56415094339623
7,5.6,9.1,8.5,8.8,9.1,5,7.3,8.4,7,9.5,9.3,7.92352941176471
7.8,9.2,8.8,9,8.2,9.3,NA,9,9.1,8,9.5,7.5,8.24074074074074
