"ALU_NOVAMATRICULA","ALU_ANO_EVASA","ALU_PERIODO_EVASAO","MAT_TUR_DIS_DISCIPLINA","DISCIPLINA","CREDITOS","MAT_MEDIA_FINAL"
"50d599030ad4d1bf99761f289f090709",2016,1,1411181,"Laboratório de Programação II",4,9.4
"50d599030ad4d1bf99761f289f090709",2016,1,1109053,"Cálculo Diferencial e Integral II",4,7.4
"50d599030ad4d1bf99761f289f090709",2016,1,1411168,"Programação II",4,8.8
"50d599030ad4d1bf99761f289f090709",2016,1,1411170,"Teoria dos Grafos",2,9.9
"50d599030ad4d1bf99761f289f090709",2016,1,1109113,"Matemática Discreta",4,8.6
"50d599030ad4d1bf99761f289f090709",2016,1,1108089,"Fundamentos de Física Clássica",4,NA
"d7434bb656f0e1bb43c04cbd65787dbe",2015,1,1109035,"Álgebra Vetorial e Geometria Analítica",4,7
"d7434bb656f0e1bb43c04cbd65787dbe",2015,1,1109103,"Cálculo Diferencial e Integral I",4,8.5
"d7434bb656f0e1bb43c04cbd65787dbe",2015,1,1411167,"Programação I",4,7.5
"d7434bb656f0e1bb43c04cbd65787dbe",2015,1,1411174,"Introdução à Computação",4,9.6
"d7434bb656f0e1bb43c04cbd65787dbe",2015,1,1411180,"Laboratório de Programação I",4,8.1
"d7434bb656f0e1bb43c04cbd65787dbe",2015,1,1307151,"Leitura e Produção de Textos",4,6.5
"d7434bb656f0e1bb43c04cbd65787dbe",2015,1,1108089,"Fundamentos de Física Clássica",4,7.6
"d7434bb656f0e1bb43c04cbd65787dbe",2015,1,1109053,"Cálculo Diferencial e Integral II",4,5.3
"d7434bb656f0e1bb43c04cbd65787dbe",2015,1,1109113,"Matemática Discreta",4,7.4
"d7434bb656f0e1bb43c04cbd65787dbe",2015,1,1411168,"Programação II",4,9
"d7434bb656f0e1bb43c04cbd65787dbe",2015,1,1411170,"Teoria dos Grafos",2,7
